user_id,persona,initial_skill
U001,Fast,Beginner
U002,Slow,Beginner
U003,Consistent,Beginner
U004,Fast,Advanced
U005,Fast,Advanced
U006,Irregular,Beginner
U007,Fast,Beginner
U008,Consistent,Beginner
U009,Fast,Advanced
U010,Consistent,Advanced
U011,Irregular,Beginner
U012,Irregular,Advanced
U013,Slow,Beginner
U014,Consistent,Advanced
U015,Irregular,Intermediate
U016,Slow,Beginner
U017,Consistent,Intermediate
U018,Fast,Beginner
U019,Irregular,Beginner
U020,Slow,Intermediate
U021,Slow,Beginner
U022,Irregular,Advanced
U023,Fast,Intermediate
U024,Fast,Advanced
U025,Slow,Advanced
U026,Slow,Advanced
U027,Consistent,Advanced
U028,Fast,Beginner
U029,Consistent,Intermediate
U030,Fast,Beginner
U031,Fast,Intermediate
U032,Slow,Intermediate
U033,Slow,Beginner
U034,Slow,Intermediate
U035,Consistent,Advanced
U036,Slow,Advanced
U037,Fast,Advanced
U038,Consistent,Advanced
U039,Consistent,Beginner
U040,Irregular,Intermediate
U041,Slow,Advanced
U042,Consistent,Advanced
U043,Slow,Beginner
U044,Consistent,Beginner
U045,Slow,Intermediate
U046,Slow,Beginner
U047,Consistent,Advanced
U048,Slow,Beginner
U049,Irregular,Intermediate
U050,Irregular,Beginner
